Image Name,Bounding Box coordinates,,,,Image class
00062.jpg,19,21,425,265,190
00063.jpg,175,330,928,647,101
00064.jpg,97,39,925,700,187
00065.jpg,63,175,417,320,8
00066.jpg,30,39,221,125,17
00067.jpg,129,89,594,432,111
00068.jpg,32,43,598,350,122
00069.jpg,142,124,675,445,5
00070.jpg,220,313,1054,976,29
00071.jpg,8,12,639,299,126
00072.jpg,92,271,1178,749,94
00073.jpg,15,12,314,230,106
00074.jpg,14,12,309,223,106
00075.jpg,45,74,522,253,188
00076.jpg,12,27,284,166,59
00077.jpg,25,25,3502,2017,110
00078.jpg,36,88,611,417,43
00079.jpg,165,126,749,425,133
00080.jpg,20,21,292,217,111
00081.jpg,10,55,540,271,8
00082.jpg,63,113,597,413,192
00083.jpg,55,48,294,205,18
00084.jpg,27,67,620,474,116
00085.jpg,15,80,629,402,49
00086.jpg,119,300,1416,871,145
00087.jpg,17,36,455,215,49
00088.jpg,171,176,2373,1751,170
00089.jpg,49,195,1003,617,20
00090.jpg,5,43,296,211,114
00091.jpg,49,57,494,419,165
00092.jpg,101,84,492,272,138
00093.jpg,23,53,258,144,175
00094.jpg,19,60,783,440,112
00095.jpg,110,171,1213,648,122
00096.jpg,39,67,346,206,104
00097.jpg,3,7,76,50,57
00098.jpg,65,37,578,360,51
00099.jpg,27,60,486,364,37
00100.jpg,22,180,454,355,71
00101.jpg,70,39,940,742,193
00102.jpg,99,130,396,222,105
00103.jpg,85,107,609,381,61
00104.jpg,1,76,480,315,74
00105.jpg,57,266,967,623,133
00106.jpg,69,75,236,161,162
00107.jpg,24,17,249,163,131
00108.jpg,7,27,212,147,88
00109.jpg,18,14,248,168,121
00110.jpg,19,2,591,387,180
00111.jpg,52,6,759,513,180
00112.jpg,231,103,430,226,137
00113.jpg,91,148,700,582,133
00114.jpg,19,72,624,397,71
00115.jpg,26,90,376,243,83
00116.jpg,132,120,667,401,110
00117.jpg,84,44,663,342,42
00118.jpg,87,235,591,412,177
00119.jpg,173,370,1207,960,147
00120.jpg,3,19,195,114,161
00121.jpg,49,143,487,455,109
00122.jpg,72,67,233,176,28
00123.jpg,151,568,1954,1271,144
00124.jpg,14,88,271,178,53
00125.jpg,135,761,1894,1353,29
00126.jpg,44,123,778,487,66
00127.jpg,69,103,537,322,79
00128.jpg,86,78,355,284,13
00129.jpg,50,80,592,273,136
00130.jpg,95,161,543,368,143
00131.jpg,275,195,863,474,171
00132.jpg,99,78,557,389,89
00133.jpg,11,126,426,360,135
00134.jpg,1,2,267,185,161
00135.jpg,19,735,2669,2192,58
00136.jpg,21,35,279,195,122
00137.jpg,45,99,593,403,178
00138.jpg,130,282,1425,900,56
00139.jpg,72,215,628,481,184
00140.jpg,62,95,633,434,191
00141.jpg,13,106,476,260,40
00142.jpg,78,300,952,633,60
00143.jpg,72,51,566,412,155
00144.jpg,66,59,283,202,71
00145.jpg,135,36,1181,885,140
00146.jpg,2,5,298,162,42
00147.jpg,8,12,770,309,76
00148.jpg,24,78,608,379,187
00149.jpg,34,1,242,179,86
00150.jpg,11,208,596,386,8
00151.jpg,8,37,294,150,5
00152.jpg,23,66,499,311,47
00153.jpg,6,138,627,361,30
00154.jpg,17,105,385,243,18
00155.jpg,76,4,1585,1120,149
00156.jpg,22,21,211,139,174
00157.jpg,32,130,973,661,138
00158.jpg,75,236,1196,846,179
00159.jpg,37,139,988,694,24
00160.jpg,114,46,546,287,42
00161.jpg,12,83,629,354,73
00162.jpg,38,66,548,385,176
00163.jpg,46,84,661,428,1
00164.jpg,13,29,239,174,37
00165.jpg,27,65,490,220,36
00166.jpg,4,69,402,245,108
00167.jpg,19,27,429,258,41
00168.jpg,110,96,565,389,40
00169.jpg,2,22,140,81,119
00170.jpg,48,71,615,453,119
00171.jpg,41,42,262,170,19
00172.jpg,6,108,493,267,163
00173.jpg,26,61,508,342,120
00174.jpg,13,29,249,159,54
00175.jpg,69,120,739,502,116
00176.jpg,45,85,1005,558,66
00177.jpg,98,22,650,302,50
00178.jpg,5,28,285,148,122
00179.jpg,42,113,601,439,155
00180.jpg,3,40,297,157,142
00181.jpg,84,256,913,752,68
00182.jpg,43,226,1001,630,170
00183.jpg,2,9,196,125,161
00184.jpg,34,51,604,344,161
00185.jpg,24,35,620,438,133
00186.jpg,6,72,255,178,125
00187.jpg,4,408,1600,934,160
00188.jpg,25,162,1241,764,93
00189.jpg,18,15,583,421,183
00190.jpg,198,416,1271,935,45
00191.jpg,129,75,654,422,143
00192.jpg,37,24,259,212,189
00193.jpg,82,107,990,723,48
00194.jpg,187,327,1211,769,176
00195.jpg,150,339,1313,771,77
00196.jpg,26,46,266,213,190
00197.jpg,47,102,492,371,110
00198.jpg,91,121,574,357,6
00199.jpg,151,298,1285,835,191
00200.jpg,30,55,301,187,16
00201.jpg,21,1,386,200,12
00202.jpg,233,217,1228,807,90
00203.jpg,30,167,945,545,188
00204.jpg,11,61,284,151,128
00205.jpg,29,70,612,356,23
00206.jpg,117,222,558,434,11
00207.jpg,31,119,438,258,93
00208.jpg,26,151,360,256,8
00209.jpg,58,136,973,636,63
00210.jpg,8,80,639,366,173
00211.jpg,11,47,598,365,176
00212.jpg,8,20,254,155,72
00213.jpg,37,62,261,191,195
00214.jpg,70,78,915,640,114
00215.jpg,38,50,221,138,72
00216.jpg,21,45,133,88,119
00217.jpg,45,39,594,444,18
00218.jpg,39,94,337,245,77
00219.jpg,89,1,597,316,18
00220.jpg,16,103,462,347,107
00221.jpg,29,21,477,299,10
00222.jpg,89,58,545,338,196
00223.jpg,42,115,299,288,99
00224.jpg,19,10,177,134,88
00225.jpg,20,50,463,313,121
00226.jpg,46,15,202,156,111
00227.jpg,36,63,613,397,61
00228.jpg,237,156,896,365,141
00229.jpg,5,46,255,138,136
00230.jpg,223,542,3692,2478,183
00231.jpg,73,109,606,374,106
00232.jpg,15,110,544,381,84
00233.jpg,276,124,1495,951,194
00234.jpg,99,364,1211,954,132
00235.jpg,59,63,549,404,111
00236.jpg,19,138,571,424,7
00237.jpg,11,10,396,265,65
00238.jpg,163,91,527,346,26
00239.jpg,4,19,255,172,16
00240.jpg,45,60,251,171,138
00241.jpg,32,59,1011,709,170
00242.jpg,10,53,273,167,102
00243.jpg,270,228,727,416,168
00244.jpg,21,93,479,331,7
00245.jpg,22,59,536,238,61
00246.jpg,1,317,1280,945,167
00247.jpg,47,125,850,468,137
00248.jpg,52,167,508,387,177
00249.jpg,6,155,631,450,153
00250.jpg,11,35,246,186,190
00251.jpg,576,466,2994,1953,167
00252.jpg,37,50,253,158,105
00253.jpg,51,105,579,335,50
00254.jpg,21,11,296,141,131
00255.jpg,29,78,734,396,6
00256.jpg,85,215,776,511,21
00257.jpg,23,146,617,329,31
00258.jpg,34,86,227,166,51
00259.jpg,75,254,2514,1929,187
00260.jpg,28,164,698,417,134
00261.jpg,32,79,378,221,16
00262.jpg,158,132,501,293,103
00263.jpg,177,299,730,673,40
00264.jpg,42,72,472,299,69
00265.jpg,15,74,387,195,55
00266.jpg,22,300,786,552,17
00267.jpg,25,133,620,374,46
00268.jpg,49,53,596,398,74
00269.jpg,29,192,605,391,185
00270.jpg,15,70,357,186,122
00271.jpg,11,23,141,80,174
00272.jpg,8,1,590,327,100
00273.jpg,37,65,458,321,69
00274.jpg,31,69,435,310,20
00275.jpg,165,183,495,358,130
00276.jpg,75,93,529,360,132
00277.jpg,72,193,926,613,173
00278.jpg,1,38,251,135,156
00279.jpg,16,31,553,297,47
00280.jpg,3,33,261,176,107
00281.jpg,214,240,387,342,151
00282.jpg,20,97,460,356,61
00283.jpg,112,190,664,342,105
00284.jpg,49,101,942,619,94
00285.jpg,7,20,634,298,194
00286.jpg,116,143,769,713,195
00287.jpg,56,299,1266,721,91
00288.jpg,60,46,258,138,189
00289.jpg,205,197,741,425,15
00290.jpg,68,30,620,506,140
00291.jpg,27,147,573,471,142
00292.jpg,133,73,806,251,10
00293.jpg,24,27,936,380,104
00294.jpg,11,141,629,386,48
00295.jpg,150,114,524,433,50
00296.jpg,18,115,618,456,120
00297.jpg,56,157,639,455,87
00298.jpg,49,67,362,245,177
00299.jpg,24,66,982,711,147
00300.jpg,41,103,994,692,169
00301.jpg,52,36,247,189,121
00302.jpg,1,37,296,171,19
00303.jpg,6,47,297,193,31
00304.jpg,14,29,235,168,156
00305.jpg,37,21,169,122,143
00306.jpg,37,125,582,456,83
00307.jpg,171,63,1187,894,58
00308.jpg,16,136,775,418,6
00309.jpg,50,122,589,338,127
00310.jpg,36,43,407,319,131
00311.jpg,1,69,280,228,15
00312.jpg,53,79,627,464,73
00313.jpg,13,44,477,289,24
00314.jpg,33,71,615,435,87
00315.jpg,555,278,1543,1207,170
00316.jpg,10,29,276,164,123
00317.jpg,2,48,300,202,158
00318.jpg,73,159,445,376,11
00319.jpg,38,8,564,402,47
00320.jpg,42,17,440,282,7
00321.jpg,42,63,593,397,94
00322.jpg,9,304,1009,677,75
00323.jpg,161,263,632,415,182
00324.jpg,15,26,199,123,186
00325.jpg,12,21,285,142,128
00326.jpg,29,28,432,249,193
00327.jpg,2,6,546,298,180
00328.jpg,41,49,244,176,62
00329.jpg,10,105,660,475,114
00330.jpg,168,92,333,305,166
00331.jpg,26,81,596,391,181
00332.jpg,76,247,396,396,101
00333.jpg,30,110,472,316,103
00334.jpg,179,300,1403,894,22
00335.jpg,23,31,236,176,125
00336.jpg,309,598,1767,995,112
00337.jpg,45,55,530,308,38
00338.jpg,14,129,441,360,106
00339.jpg,39,5,234,174,56
00340.jpg,139,152,488,305,9
00341.jpg,62,116,974,610,67
00342.jpg,152,195,502,436,169
00343.jpg,63,36,760,504,147
00344.jpg,36,59,770,397,145
00345.jpg,26,13,234,194,113
00346.jpg,112,21,2859,1928,63
00347.jpg,100,190,907,691,145
00348.jpg,14,59,522,266,55
00349.jpg,42,82,956,685,89
00350.jpg,17,52,247,158,86
00351.jpg,13,108,454,305,42
00352.jpg,107,40,433,240,143
00353.jpg,3,60,499,289,117
00354.jpg,44,212,984,596,57
00355.jpg,28,93,1011,675,170
00356.jpg,187,313,1381,1087,115
00357.jpg,31,47,415,255,39
00358.jpg,53,116,562,353,29
00359.jpg,27,71,630,422,58
00360.jpg,12,23,245,176,70
00361.jpg,17,64,941,620,119
00362.jpg,108,121,539,357,50
00363.jpg,14,60,402,300,128
00364.jpg,15,47,286,184,53
00365.jpg,17,82,630,496,53
00366.jpg,67,55,508,338,32
00367.jpg,30,118,618,334,177
00368.jpg,14,76,292,195,59
00369.jpg,40,52,603,357,128
00370.jpg,57,148,568,363,10
00371.jpg,5,56,430,245,83
00372.jpg,2,190,371,490,168
00373.jpg,243,318,805,629,172
00374.jpg,9,184,740,499,6
00375.jpg,122,48,697,401,176
00376.jpg,74,187,917,734,135
00377.jpg,20,48,624,453,133
00378.jpg,16,25,290,215,156
00379.jpg,119,194,942,586,54
00380.jpg,137,76,600,370,99
00381.jpg,66,88,455,322,125
00382.jpg,4,55,494,365,146
00383.jpg,80,1,549,431,58
00384.jpg,51,87,489,290,59
00385.jpg,217,199,631,358,141
00386.jpg,65,321,1232,828,56
00387.jpg,47,150,1007,635,63
00388.jpg,18,53,244,175,131
00389.jpg,5,96,409,262,48
00390.jpg,14,21,782,487,160
00391.jpg,433,262,1339,985,166
00392.jpg,62,220,992,667,4
00393.jpg,110,266,986,700,195
00394.jpg,229,126,624,345,147
00395.jpg,58,45,205,165,131
00396.jpg,21,99,442,295,165
00397.jpg,30,29,282,164,23
00398.jpg,29,93,408,242,40
00399.jpg,121,108,655,387,26
00400.jpg,32,51,260,153,181
00401.jpg,24,78,366,232,88
00402.jpg,1,18,392,240,17
00403.jpg,299,199,1415,894,110
00404.jpg,30,132,724,361,180
00405.jpg,42,37,624,328,10
00406.jpg,1,157,990,640,75
00407.jpg,19,136,498,329,59
00408.jpg,49,76,343,266,19
00409.jpg,21,66,605,463,189
00410.jpg,31,119,404,248,5
00411.jpg,52,47,586,260,14
00412.jpg,195,372,1908,1339,176
00413.jpg,33,150,613,401,80
00414.jpg,316,344,1269,891,86
00415.jpg,81,552,1917,1153,55
00416.jpg,122,157,921,587,112
00417.jpg,63,69,603,385,50
00418.jpg,12,70,388,273,57
00419.jpg,50,89,584,387,73
00420.jpg,71,64,425,328,99
00421.jpg,71,158,690,341,152
00422.jpg,32,74,277,203,162
00423.jpg,69,59,637,461,85
00424.jpg,22,83,415,322,5
00425.jpg,48,36,572,300,7
00426.jpg,85,318,1223,863,194
00427.jpg,33,128,581,458,117
00428.jpg,33,102,595,429,179
00429.jpg,83,182,573,402,73
00430.jpg,82,74,589,340,185
00431.jpg,47,201,534,426,187
00432.jpg,54,128,429,353,163
00433.jpg,58,189,879,642,164
00434.jpg,18,50,280,162,171
00435.jpg,20,75,606,325,64
00436.jpg,20,51,271,180,51
00437.jpg,19,67,412,314,99
00438.jpg,52,94,543,323,26
00439.jpg,11,89,644,415,49
00440.jpg,12,60,456,306,107
00441.jpg,30,35,382,235,115
00442.jpg,53,56,391,278,190
00443.jpg,37,60,218,144,143
00444.jpg,4,4,377,277,79
00445.jpg,121,169,1387,775,180
00446.jpg,17,41,465,293,24
00447.jpg,43,110,462,296,162
00448.jpg,37,67,617,437,178
00449.jpg,66,117,506,289,180
00450.jpg,57,59,506,288,15
00451.jpg,66,90,507,385,189
00452.jpg,59,42,256,165,108
00453.jpg,65,91,391,278,121
00454.jpg,251,299,1423,901,49
00455.jpg,434,136,1528,829,194
00456.jpg,79,63,285,171,42
00457.jpg,79,91,600,456,118
00458.jpg,16,96,483,277,108
00459.jpg,39,81,597,465,84
00460.jpg,95,139,886,541,182
00461.jpg,111,2,553,350,179
00462.jpg,5,8,83,58,1
00463.jpg,113,75,1551,1136,89
00464.jpg,72,216,884,579,133
00465.jpg,53,115,565,380,187
00466.jpg,104,261,511,480,178
00467.jpg,47,92,209,178,14
00468.jpg,1,18,300,147,111
00469.jpg,13,88,483,259,93
00470.jpg,4,9,409,193,92
00471.jpg,3,7,253,165,18
00472.jpg,34,315,1832,905,140
00473.jpg,18,38,249,178,65
00474.jpg,70,125,389,340,129
00475.jpg,21,85,793,389,183
00476.jpg,95,125,585,390,141
00477.jpg,160,175,923,623,124
00478.jpg,9,7,98,81,174
00479.jpg,133,38,691,514,120
00480.jpg,29,46,239,134,109
00481.jpg,6,44,270,175,15
00482.jpg,80,91,589,429,184
00483.jpg,18,26,623,342,90
00484.jpg,29,62,509,288,126
00485.jpg,70,118,401,299,77
00486.jpg,43,74,587,399,58
00487.jpg,8,23,296,167,48
00488.jpg,28,35,207,139,56
00489.jpg,55,78,454,272,105
00490.jpg,21,51,233,163,29
00491.jpg,37,14,358,288,121
00492.jpg,13,108,612,386,61
00493.jpg,19,116,700,400,114
00494.jpg,39,337,1239,711,173
00495.jpg,111,98,863,766,86
00496.jpg,24,132,1021,734,81
00497.jpg,6,79,470,287,185
00498.jpg,78,102,560,368,119
00499.jpg,12,31,412,249,159
00500.jpg,11,10,291,212,84
00501.jpg,4,30,146,86,161
00502.jpg,1,11,101,84,88
00503.jpg,11,48,491,237,9
00504.jpg,45,63,237,138,129
00505.jpg,49,88,226,172,129
00506.jpg,26,185,764,610,167
00507.jpg,139,206,590,395,130
00508.jpg,85,237,1561,1052,167
00509.jpg,64,130,554,341,21
00510.jpg,10,73,613,388,114
00511.jpg,74,43,569,407,99
00512.jpg,27,61,265,160,104
00513.jpg,12,164,533,351,40
00514.jpg,18,22,292,163,109
00515.jpg,17,70,282,166,162
00516.jpg,18,99,613,427,53
00517.jpg,20,205,1008,694,43
00518.jpg,34,57,237,178,109
00519.jpg,7,39,254,177,162
00520.jpg,14,59,253,142,67
00521.jpg,122,196,512,439,153
00522.jpg,6,7,94,68,1
00523.jpg,33,151,1000,528,115
00524.jpg,38,98,590,353,126
00525.jpg,116,148,391,318,76
00526.jpg,26,78,245,161,108
00527.jpg,56,3,736,271,191
00528.jpg,38,74,213,162,121
00529.jpg,45,44,563,415,61
00530.jpg,25,32,236,180,161
00531.jpg,167,396,1945,1016,141
00532.jpg,26,139,607,343,80
00533.jpg,40,68,487,263,135
00534.jpg,17,120,563,359,139
00535.jpg,508,240,1379,955,154
00536.jpg,29,116,593,409,54
00537.jpg,1,328,758,773,172
00538.jpg,56,214,1544,755,107
00539.jpg,30,11,413,316,139
00540.jpg,3,39,300,128,72
00541.jpg,12,52,275,208,122
00542.jpg,25,78,600,421,86
00543.jpg,8,79,397,240,186
00544.jpg,9,72,633,359,179
00545.jpg,5,569,2040,1468,147
00546.jpg,40,114,350,285,34
00547.jpg,63,110,592,351,47
00548.jpg,11,36,247,175,13
00549.jpg,8,5,547,267,13
00550.jpg,11,130,394,257,98
00551.jpg,227,315,766,532,42
00552.jpg,4,41,281,148,46
00553.jpg,16,95,628,339,187
00554.jpg,41,38,299,190,138
00555.jpg,37,89,603,317,144
00556.jpg,101,254,938,605,163
00557.jpg,117,15,723,513,184
00558.jpg,54,49,528,336,82
00559.jpg,20,65,612,409,162
00560.jpg,7,85,250,191,107
00561.jpg,151,169,573,425,21
00562.jpg,65,95,368,241,59
00563.jpg,9,78,899,520,130
00564.jpg,45,86,600,355,72
00565.jpg,187,117,649,492,183
00566.jpg,520,373,1582,1043,29
00567.jpg,19,34,247,159,92
00568.jpg,30,128,402,307,138
00569.jpg,25,234,1179,675,58
00570.jpg,10,44,239,193,125
00571.jpg,18,34,255,182,131
00572.jpg,78,245,896,604,183
00573.jpg,141,525,1803,1854,170
00574.jpg,117,95,612,362,82
00575.jpg,13,75,632,446,121
00576.jpg,20,24,232,156,119
00577.jpg,51,97,669,286,71
00578.jpg,177,229,931,789,12
00579.jpg,71,82,368,267,33
00580.jpg,49,241,1573,1075,191
00581.jpg,310,322,1121,691,49
00582.jpg,2,11,222,115,138
00583.jpg,107,66,566,314,193
00584.jpg,133,95,827,540,185
00585.jpg,388,220,1340,975,89
00586.jpg,31,105,246,194,190
00587.jpg,23,90,504,289,152
00588.jpg,12,56,247,155,76
00589.jpg,41,140,558,325,41
00590.jpg,9,16,299,204,181
00591.jpg,66,36,573,446,50
00592.jpg,62,128,615,389,34
00593.jpg,13,31,245,155,80
00594.jpg,33,85,596,395,174
00595.jpg,91,143,582,410,69
00596.jpg,9,53,212,132,123
00597.jpg,62,162,607,458,75
00598.jpg,25,84,280,198,28
00599.jpg,33,56,408,294,186
00600.jpg,47,14,360,181,20
00601.jpg,28,55,974,675,63
00602.jpg,29,24,591,388,20
00603.jpg,4,16,213,118,16
00604.jpg,59,155,734,459,77
00605.jpg,117,376,1610,1048,160
00606.jpg,99,72,894,675,98
00607.jpg,73,195,570,449,59
00608.jpg,254,283,922,469,150
00609.jpg,19,33,223,128,123
00610.jpg,395,247,1812,1254,145
00611.jpg,19,83,618,384,80
00612.jpg,33,98,594,391,79
00613.jpg,24,72,589,481,169
00614.jpg,1,18,1022,692,115
00615.jpg,76,135,965,665,75
00616.jpg,61,66,737,430,98
00617.jpg,39,83,617,477,124
00618.jpg,42,216,998,619,89
00619.jpg,50,37,308,210,123
00620.jpg,107,110,994,717,58
00621.jpg,10,28,791,520,145
00622.jpg,35,64,549,375,52
00623.jpg,33,142,612,396,36
00624.jpg,52,58,446,231,84
00625.jpg,12,41,652,341,133
00626.jpg,30,44,384,243,54
00627.jpg,143,89,390,238,137
00628.jpg,16,20,291,220,91
00629.jpg,3,10,259,193,131
00630.jpg,133,79,660,551,76
00631.jpg,11,8,270,160,5
00632.jpg,59,224,869,575,24
00633.jpg,84,285,599,699,157
00634.jpg,15,31,286,148,9
00635.jpg,60,91,727,405,9
00636.jpg,37,51,370,268,153
00637.jpg,69,43,868,467,101
00638.jpg,3,41,258,157,13
00639.jpg,44,125,668,483,37
00640.jpg,33,177,583,422,150
00641.jpg,14,113,599,417,182
00642.jpg,37,54,261,175,23
00643.jpg,35,118,573,332,194
00644.jpg,55,138,588,349,109
00645.jpg,20,13,301,113,69
00646.jpg,8,38,266,146,83
00647.jpg,169,428,1393,1001,51
00648.jpg,14,60,223,138,136
00649.jpg,64,153,818,423,140
00650.jpg,64,136,439,329,32
00651.jpg,8,147,782,511,182
00652.jpg,6,21,318,140,142
00653.jpg,15,46,194,109,16
00654.jpg,55,61,799,445,61
00655.jpg,82,185,928,579,175
00656.jpg,43,75,445,252,185
00657.jpg,6,15,271,160,38
00658.jpg,192,235,1260,878,164
00659.jpg,136,308,893,710,127
00660.jpg,173,132,497,296,11
00661.jpg,8,71,421,285,61
00662.jpg,47,57,612,455,125
00663.jpg,49,91,675,322,84
00664.jpg,31,66,619,425,29
00665.jpg,12,46,239,154,156
00666.jpg,127,137,673,352,184
00667.jpg,21,44,453,318,135
00668.jpg,14,48,256,164,80
00669.jpg,12,41,246,186,70
00670.jpg,97,49,455,326,2
00671.jpg,24,91,506,270,137
00672.jpg,50,16,226,184,119
00673.jpg,25,1,259,189,86
00674.jpg,5,16,153,102,119
00675.jpg,103,289,1049,584,38
00676.jpg,35,107,620,389,61
00677.jpg,11,34,217,140,100
00678.jpg,105,400,978,692,27
00679.jpg,190,229,681,454,101
00680.jpg,59,52,247,155,136
00681.jpg,5,32,588,340,20
00682.jpg,11,15,297,201,90
00683.jpg,108,1,550,295,185
00684.jpg,68,37,698,446,25
00685.jpg,260,498,1700,1030,137
00686.jpg,30,52,385,190,15
00687.jpg,167,84,854,575,140
00688.jpg,75,6,864,628,140
00689.jpg,59,63,369,293,24
00690.jpg,111,55,346,217,12
00691.jpg,84,189,573,376,2
00692.jpg,48,45,589,320,58
00693.jpg,64,103,934,617,86
00694.jpg,14,43,221,150,62
00695.jpg,87,80,567,458,111
00696.jpg,2,73,567,331,122
00697.jpg,16,55,560,382,4
00698.jpg,29,24,219,151,51
00699.jpg,37,36,609,376,129
00700.jpg,93,101,404,274,5
00701.jpg,22,49,276,181,31
00702.jpg,567,449,1428,988,138
00703.jpg,21,137,472,337,115
00704.jpg,11,29,631,435,137
00705.jpg,17,8,343,248,95
00706.jpg,13,20,626,446,145
00707.jpg,26,32,677,418,1
00708.jpg,102,298,903,609,164
00709.jpg,129,256,729,498,36
00710.jpg,13,34,272,147,46
00711.jpg,29,19,623,405,169
00712.jpg,457,414,1308,951,149
00713.jpg,58,82,966,720,86
00714.jpg,75,121,603,370,60
00715.jpg,47,89,690,441,114
00716.jpg,8,91,257,189,38
00717.jpg,21,31,609,359,106
00718.jpg,296,222,1121,607,145
00719.jpg,118,93,380,317,184
00720.jpg,10,62,152,117,80
00721.jpg,74,231,418,360,117
00722.jpg,62,102,565,405,74
00723.jpg,25,241,751,524,19
00724.jpg,100,27,238,125,51
00725.jpg,206,55,808,570,63
00726.jpg,7,85,246,182,165
00727.jpg,1,31,208,92,151
00728.jpg,38,66,266,181,73
00729.jpg,64,160,420,347,129
00730.jpg,30,56,619,395,159
00731.jpg,30,37,608,331,103
00732.jpg,40,349,571,613,41
00733.jpg,289,136,555,306,24
00734.jpg,16,157,778,520,165
00735.jpg,10,60,894,506,130
00736.jpg,18,4,428,251,179
00737.jpg,39,12,216,187,88
00738.jpg,42,153,602,389,55
00739.jpg,29,86,601,373,58
00740.jpg,37,77,582,342,3
00741.jpg,41,81,629,410,111
00742.jpg,5,25,271,177,5
00743.jpg,45,115,627,455,87
00744.jpg,51,52,541,364,137
00745.jpg,32,72,591,386,61
00746.jpg,10,18,242,181,41
00747.jpg,213,307,763,557,167
00748.jpg,54,39,392,188,69
00749.jpg,15,36,271,154,44
00750.jpg,17,70,370,257,24
00751.jpg,66,247,978,527,55
00752.jpg,305,270,1439,959,168
00753.jpg,68,128,549,419,106
00754.jpg,60,2,578,440,95
00755.jpg,30,32,593,296,12
00756.jpg,21,47,580,344,153
00757.jpg,85,118,379,290,124
00758.jpg,30,154,771,502,49
00759.jpg,25,99,602,388,47
00760.jpg,100,5,1179,862,170
00761.jpg,57,131,570,397,87
00762.jpg,6,106,611,372,172
00763.jpg,66,176,588,362,174
00764.jpg,8,106,391,262,165
00765.jpg,6,24,297,153,21
00766.jpg,18,92,532,297,174
00767.jpg,106,73,805,546,22
00768.jpg,9,33,246,161,82
00769.jpg,61,222,959,569,61
00770.jpg,21,45,772,547,24
00771.jpg,22,59,626,412,168
00772.jpg,30,31,611,453,20
00773.jpg,33,50,197,150,1
00774.jpg,45,199,615,432,91
00775.jpg,82,99,565,351,138
00776.jpg,15,45,639,420,119
00777.jpg,18,40,491,283,120
00778.jpg,60,17,455,322,180
00779.jpg,17,121,555,384,68
00780.jpg,36,63,478,234,18
00781.jpg,38,6,595,476,88
00782.jpg,68,95,593,319,101
00783.jpg,156,255,955,619,79
00784.jpg,42,163,725,382,103
00785.jpg,19,96,469,266,22
00786.jpg,13,32,774,529,191
00787.jpg,114,128,800,432,141
00788.jpg,30,105,294,233,115
00789.jpg,23,25,245,150,162
00790.jpg,124,406,1546,1120,131
00791.jpg,9,61,334,199,135
00792.jpg,155,59,532,361,35
00793.jpg,7,50,394,261,24
00794.jpg,23,102,408,265,139
00795.jpg,9,30,251,169,51
00796.jpg,38,213,564,436,184
00797.jpg,135,62,922,611,191
00798.jpg,10,1,576,261,27
00799.jpg,11,96,625,387,172
00800.jpg,3,73,211,148,107
00801.jpg,57,158,351,296,103
00802.jpg,45,140,357,247,163
00803.jpg,36,36,549,457,24
00804.jpg,78,31,570,419,166
00805.jpg,15,32,296,149,190
00806.jpg,79,171,713,385,92
00807.jpg,13,87,630,401,121
00808.jpg,9,46,141,94,119
00809.jpg,58,13,579,414,160
00810.jpg,66,18,237,185,111
00811.jpg,49,114,577,367,117
00812.jpg,1,63,480,315,68
00813.jpg,32,93,941,696,139
